大陆台,#genre#
CCTV-1综合,http://xyt.186738613.xyz/lngd.php?id=488&Cf.m3u8
CCTV-4中文国际,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV-5体育,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/055/2024078403.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
东方卫视,http://64.140.167.170:8080/live/ydws2/hls.m3u8
凤凰卫视,http://tvbox.netsite.cc/proxy/1650326537/1650326537.m3u8

香港台,#genre#
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVB 星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8


台湾台,#genre#
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
東森新聞,http://4gtv.mumi.rip:9877/292/4gtv-4gtv152/index.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8

🔞🈲成人（电视台）,#genre#
驚艷台,http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8
驚艷台,http://18.svi-studio.com:8880/live/584830114073/800309151021/1.m3u8

潘多拉,http://18.svi-studio.com:8880/live/908957700097/132663288386/3.m3u8
潘多拉,http://18.svi-studio.com:8880/live/584830114073/800309151021/3.m3u8

香蕉台,http://18.svi-studio.com:8880/live/908957700097/132663288386/4.m3u8
香蕉台,http://18.svi-studio.com:8880/live/584830114073/800309151021/4.m3u8

香蕉人電影台,https://2.ddyunbo.com/20190908/ETghLd5D/index.m3u8


松視1,http://18.svi-studio.com:8880/live/271871095922/006886711863/5.m3u8
松視1,http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
松視1,http://z88.ubtvfans.com/live/rx3/402/2d5f45ef7b7b90e9b47c6963be6d5120/index.m3u8
松視1,http://z88.ubtvfans.com/live/rx3/2905/daf5dc8e6ec09a9f9fa07764441d1ebc/index.m3u8

松視人電影台1台,https://2.ddyunbo.com/20190914/dSIYelxz/index.m3u8


松視2,http://18.svi-studio.com:8880/live/271871095922/006886711863/6.m3u8
松視2,http://18.svi-studio.com:8880/live/917952932058/953281067271/6.m3u8
松視2,http://z88.ubtvfans.com/live/rx3/403/169cf37c3b80aa73066703f16f161f7d/index.m3u8
松視2,http://z88.ubtvfans.com/live/rx3/2906/786522c38e02f6af5fea35725319e11a/index.m3u8

松視人電影台2台,https://2.ddyunbo.com/20191004/HjrnnnDD/index.m3u8

松視3,http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
松視3,http://z88.ubtvfans.com/live/rx3/404/f879380802739b846ed31d934c19b4de/index.m3u8
松視3,http://z88.ubtvfans.com/live/rx3/2907/996ead584b34542d91ef9b92b8184d0a/index.m3u8

松視人電影台3台,https://2.ddyunbo.com/20190904/ZnGN7sEl/index.m3u8


一本道,https://2.ddyunbo.com/20190904/HqGckgKl/index.m3u8
爆乳 完全版,https://2.ddyunbo.com/20190904/m94xaoPh/index.m3u8
神奶教練的淫語言指導,https://2.ddyunbo.com/20190908/1oZ5V2g2/index.m3u8
前澤小百合,https://2.ddyunbo.com/20190904/wJoZlwtT/index.m3u8
潘朵啦粉紅台,https://2.ddyunbo.com/20190908/qvYslaAx/index.m3u8
彩虹電影台,https://2.ddyunbo.com/20190908/nvueB1Az/index.m3u8
PLAYBOY,https://2.ddyunbo.com/20190908/zSd2DI9R/index.m3u8
驚艷成人電影台,https://2.ddyunbo.com/20190914/TFWmOomT/index.m3u8
彩虹e台,https://2.ddyunbo.com/20190914/vL0TDJOa/index.m3u8
JStar極限台,https://2.ddyunbo.com/20190918/7mkn1AhN/index.m3u8
前後反差淫亂露臉騷婊,https://2.ddyunbo.com/20190923/WebyDiop/index.m3u8
主播福利,https://2.ddyunbo.com/20191003/iRZV03AE/index.m3u8
HAPPY,https://2.ddyunbo.com/20191003/EuwbmURX/index.m3u8
二本道歐美版,https://2.ddyunbo.com/20191004/GKWK7Q5F/index.m3u8
香蕉台歐美版,https://2.ddyunbo.com/20191004/3T6aTxbN/index.m3u8
限制級電影,https://2.ddyunbo.com/20191004/FxbqgEFY/index.m3u8
俄羅斯成人5台,https://2.ddyunbo.com/20191004/rURK4pfY/index.m3u8
俄羅斯成人4台,https://2.ddyunbo.com/20191007/7G1CWNc8/index.m3u8
俄羅斯成人3台,https://2.ddyunbo.com/20191007/IFlq5eON/index.m3u8
俄羅斯成人2台,https://2.ddyunbo.com/20191007/qISqWik0/index.m3u8

日本(18+)1,https://2.ddyunbo.com/20190904/HqGckgKl/index.m3u8
日本(18+)2,https://2.ddyunbo.com/20190904/m94xaoPh/index.m3u8
日本(18+)3,https://2.ddyunbo.com/20190908/1oZ5V2g2/index.m3u8

老逗01,https://video2.51daao.com/btt1/2021/07/20210708/7quARUC4/index.m3u8
🔞🈲成人（影片）,#genre#
安斋,https://siwazywcdn2.com:5278/zhongwenzimu/67nNClKY/index.m3u8
百永纱理奈,https://siwazywcdn2.com:5278/zhongwenzimu/5PzEAi0h/index.m3u8
耳边细语,https://siwazywcdn2.com:5278/zhongwenzimu/07fs3XqF/index.m3u8
加勒比206西川,https://fc.maa1808.com/d/oduhcvyunk/oduhcvyunk.m3u8
松永纱奈2,https://fc.maa1809.com/e/ohtlknkomr/ohtlknkomr.m3u8
西宫,https://siwazywcdn2.com:5278/zhongwenzimu/1BvNA3kM/index.m3u8
咲咲原凛星奈爱,https://fc.maa1809.com/d/ojpmkokpmm/ojpmkokpmm.m3u8
雪音,https://siwazywcdn2.com:5278/zhongwenzimu/23fVU6wT/index.m3u8
叶月梨乃,https://siwazywcdn2.com:5278/ribenyouma/6F2acdoY/index.m3u8
奏美沙,https://fc.maa1809.com/e/chifuosxst/chifuosxst.m3u8
abp-981山奥,https://siwazywcdn2.com:5278/zhongwenzimu/yUJdhNRX/index.m3u8
carib474立花琉莉,https://fc.maa1808.com/h/oqmoimljpr/oqmoimljpr.m3u8
carib744立花琉莉,https://fc.maa1808.com/c/kmiorrpitk/kmiorrpitk.m3u8
CAWD-092皆川优奈,https://siwazywcdn2.com:5278/zhongwenzimu/5JDoELrc/index.m3u8
未公開～原ちとせ碧木凛桃井りの羽多野しずく,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-072617_468/index.m3u8
未公開～大失禁～希咲良,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-061417_444/index.m3u8
水谷心音BEST2,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-053017_437/index.m3u8
縦型動画012～SSR虎の子の潮吹～上原亜衣,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-053117_001/index.m3u8
恍惚～生島涼,http://videocdn.quweikm.com:8091/20181101/hd_caribbeancom-060217_438/index.m3u8
WAAA-253 需要排队的中出公众肉便器-花柳杏奈,https://t21.cdn2020.com/video/m3u8/2023/04/19/6bca000a/index.m3u8
心理醫生的射精療法,https://video2.51daao.com/btt1/2020/10/20201022/148nQ9sT/index.m3u8

🔞香港三级经典剧,#genre#
一路向西,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/fd/ea/eu/2q/7bd22841f6dd4b768ab5d1e38419bf4b.m3u8?
鸭王,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/fo/4n/1u/xg/304cc44af0334b39b0989c4e224ec966.m3u8?
爱很烂,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/vf/c1/xy/je/9c181c81984e456a9ade1fa8c0021770.m3u8?
金瓶梅2008,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/c0/xf/gg/0f/8a292587e31a4a3eaa0181399728341b.m3u8?
金瓶梅 2009,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/5r/f0/91/pt/657f7457792046f0b26296e7ab8dc54c.m3u8?
新金瓶梅-1,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/9n/om/ey/m3/5818f7a375364105b91f73443101fbc8.m3u8?
新金瓶梅-2,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/st/og/8r/id/95b2f1ca83914736bf80677f168c8a9d.m3u8?
新金瓶梅-3,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/j1/je/h3/ny/bd613c602d5a4e9a9e4666ec25899422.m3u8?
新金瓶梅-4,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/ys/ct/jj/2v/4d20dc3e83a54dbbbd0882d8156f7a5e.m3u8?
新金瓶梅-5,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/st/fa/rg/ao/1c8293e0715c465f8b859b0379ce6155.m3u8?
情难自制,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/p9/5v/9t/j0/e18f0c1590a940eca9443e6a2ffdee3b.m3u8?
勾魂噩梦,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/de/8i/j5/cd/92b61d3b80514007a60da1c9a4210189.m3u8?
聊斋艳谭3：灯草和尚,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/4p/48/z1/q0/851e1443df22425687209bd894113842.m3u8?
聊斋艳谭续集：五神通,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/em/nl/x2/h0/1fabfbc638264c6c8a73a03666df2d2a.m3u8?
艳降勾魂,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/bj/z0/q7/by/5b49b5ff15484a5aab4a3d0d55d608ec.m3u8?
